Gamma, Beta, T, LearningReached, TestingReached, Best, Worst, Average, Std, BestReward
0.1, 0.1, 0.25, 0.0, 7.2, 1255.8, 1367.7, 1317.4333333333334, 1317.4333333333334, -65.79477807357907
0.5, 0.1, 0.25, 0.0, 9.0, 301.5, 439.5, 380.5, 380.5, 41.860539408028124
0.9, 0.1, 0.25, 0.0, 9.0, 258.7, 370.1, 329.7555555555556, 329.7555555555556, 46.17062719091773
0.1, 0.5, 0.25, 0.0, 8.3, 350.3, 1043.9, 821.3333333333333, 821.3333333333333, 36.9736507512629
0.5, 0.5, 0.25, 0.0, 8.4, 307.9, 893.7, 687.3222222222223, 687.3222222222223, 41.23135903254151
0.9, 0.5, 0.25, 0.0, 7.4, 307.6, 2256.7, 1187.8666666666663, 1187.8666666666663, 41.20345672667027
0.1, 0.9, 0.25, 0.0, 6.1, 388.3, 3234.4, 1921.5222222222224, 1921.5222222222224, 33.183236709982154
0.5, 0.9, 0.25, 0.0, 7.0, 331.7, 1805.4, 1412.6, 1412.6, 38.79991458877921
0.9, 0.9, 0.25, 0.0, 6.3, 376.9, 2785.7, 1808.3333333333333, 1808.3333333333333, 34.281271025538445
0.1, 0.1, 0.5, 0.0, 8.1, 788.7, 961.2, 881.8444444444445, 881.8444444444445, -11.466971258074045
0.5, 0.1, 0.5, 0.0, 8.2, 335.2, 1004.2, 850.1333333333334, 850.1333333333334, 38.490989103168246
0.9, 0.1, 0.5, 0.0, 9.0, 294.6, 418.9, 373.64444444444445, 373.64444444444445, 42.55218507796526
0.1, 0.5, 0.5, 0.0, 7.3, 799.1, 1444.3, 1294.7666666666669, 1294.7666666666669, -12.539733999967575
0.5, 0.5, 0.5, 0.0, 8.7, 341.2, 926.6, 577.9555555555555, 577.9555555555555, 37.89752693772316
0.9, 0.5, 0.5, 0.0, 9.0, 309.2, 420.4, 378.84444444444443, 378.84444444444443, 41.044946380704644
0.1, 0.9, 0.5, 0.0, 6.8, 875.2, 2372.0, 1614.111111111111, 1614.111111111111, -21.77297476604581
0.5, 0.9, 0.5, 0.0, 7.8, 475.8, 2040.1, 1181.0333333333333, 1181.0333333333333, 24.420246120542288
0.9, 0.9, 0.5, 0.0, 8.1, 809.3, 947.5, 890.4555555555555, 890.4555555555555, -15.959351822733879
0.1, 0.1, 0.75, 0.0, 7.2, 1263.5, 1441.9, 1360.2222222222222, 1360.2222222222222, -65.01473288536071
0.5, 0.1, 0.75, 0.0, 8.1, 790.9, 926.8, 872.5555555555554, 872.5555555555554, -13.18077430203557
0.9, 0.1, 0.75, 0.0, 9.0, 297.1, 430.0, 381.8222222222222, 381.8222222222222, 42.30336609855294
0.1, 0.5, 0.75, 0.0, 8.1, 802.8, 1098.2, 942.9111111111113, 942.9111111111113, -14.349653575569391
0.5, 0.5, 0.75, 0.0, 9.0, 325.6, 504.5, 428.38888888888886, 428.38888888888886, 39.42947595641017
0.9, 0.5, 0.75, 0.0, 8.1, 330.4, 1365.8, 860.2888888888889, 860.2888888888889, 38.966874630749224
0.1, 0.9, 0.75, 0.0, 7.8, 407.3, 1998.3, 1150.9444444444446, 1150.9444444444446, 31.284706430137156
0.5, 0.9, 0.75, 0.0, 8.7, 386.7, 1082.7, 665.6111111111111, 665.6111111111111, 33.319232284277675
0.9, 0.9, 0.75, 0.0, 8.1, 384.6, 1922.8, 940.511111111111, 940.511111111111, 33.51095778644085
0.1, 0.1, 1, 0.0, 8.7, 339.1, 948.6, 585.9444444444445, 585.9444444444445, 38.11455609574914
0.5, 0.1, 1, 0.0, 8.4, 428.6, 979.6, 828.8333333333334, 828.8333333333334, 29.11700536236167
0.9, 0.1, 1, 0.0, 9.0, 319.5, 450.8, 397.5777777777778, 397.5777777777778, 40.010616251826285
0.1, 0.5, 1, 0.0, 9.0, 333.8, 524.7, 438.17777777777775, 438.17777777777775, 38.65394655168056
0.5, 0.5, 1, 0.0, 7.5, 375.6, 1934.5, 1251.1666666666665, 1251.1666666666665, 34.444063069671394
0.9, 0.5, 1, 0.0, 9.0, 330.5, 483.3, 419.2333333333333, 419.2333333333333, 38.93673983588815
0.1, 0.9, 1, 0.0, 7.5, 379.2, 1912.2, 1230.3444444444444, 1230.3444444444444, 34.0495607085526
0.5, 0.9, 1, 0.0, 6.6, 393.5, 3220.8, 1732.4000000000003, 1732.4000000000003, 32.62711565047503
0.9, 0.9, 1, 0.0, 6.9, 401.6, 2401.2, 1566.1333333333332, 1566.1333333333332, 31.84233154281974
