Gamma, Beta, Epsilon, LearningReached, TestingReached, Best, Worst, Average, Std, BestReward
0.1, 0.1, 0, 239.0, 8.7, 342.7, 931.5, 591.1888888888889, 591.1888888888889, 37.69195089936257
0.5, 0.1, 0, 225.3, 8.1, 771.5, 880.4, 836.9, 836.9, -11.78097639977932
0.9, 0.1, 0, 212.9, 8.7, 301.9, 927.2, 537.6777777777777, 537.6777777777777, 41.7962379142642
0.1, 0.5, 0, 229.2, 9.0, 380.8, 541.2, 473.87777777777785, 473.87777777777785, 33.865791014581916
0.5, 0.5, 0, 216.5, 7.2, 1282.7, 1408.1, 1359.5111111111112, 1359.5111111111112, -69.23807905763388
0.9, 0.5, 0, 207.0, 7.2, 1222.6, 1325.9, 1278.8, 1278.8, -63.18696837872267
0.1, 0.9, 0, 88.0, 0.9, 4532.6, 4548.5, 4541.455555555555, 4541.455555555555, -440.5076986774802
0.5, 0.9, 0, 196.0, 6.3, 1747.2, 2018.8, 1845.2333333333331, 1845.2333333333331, -122.00528376176953
0.9, 0.9, 0, 239.6, 7.5, 773.1, 1421.5, 1167.5000000000002, 1167.5000000000002, -10.463647793978453
0.1, 0.1, 5, 211.2, 9.0, 383.7, 564.9, 488.2222222222222, 488.2222222222222, 33.590582685172556
0.5, 0.1, 5, 217.0, 8.7, 346.1, 1109.6, 586.0333333333333, 586.0333333333333, 37.37736550047994
0.9, 0.1, 5, 223.7, 9.0, 308.2, 423.7, 375.0888888888889, 375.0888888888889, 41.175538901984694
0.1, 0.5, 5, 14.2, 4.2, 2219.5, 3254.5, 2892.2555555555555, 2892.2555555555555, -175.988297893852
0.5, 0.5, 5, 28.3, 4.5, 2207.5, 3257.9, 2736.7, 2736.7, -173.5613384477794
0.9, 0.5, 5, 194.0, 7.2, 838.1, 1986.7, 1418.2111111111112, 1418.2111111111112, -16.944914009422064
0.1, 0.9, 5, 5.4, 3.3, 2820.5, 4105.5, 3406.1222222222227, 3406.1222222222227, -240.91563798487186
0.5, 0.9, 5, 20.3, 4.2, 2262.0, 3290.0, 2928.4666666666667, 2928.4666666666667, -179.17540451139212
0.9, 0.9, 5, 145.9, 4.5, 1384.3, 3650.1, 2738.266666666667, 2738.266666666667, -77.69700617045164
0.1, 0.1, 10, 178.6, 7.2, 981.6, 2181.5, 1577.1, 1577.1, -32.75243171826005
0.5, 0.1, 10, 194.1, 7.5, 840.0, 1797.3, 1193.411111111111, 1193.411111111111, -18.08826427385211
0.9, 0.1, 10, 230.5, 9.0, 309.4, 414.9, 370.7666666666667, 370.7666666666667, 41.06087658032775
0.1, 0.5, 10, 2.4, 5.6, 1721.6, 2710.9, 2119.222222222222, 2119.222222222222, -118.25955302938819
0.5, 0.5, 10, 10.8, 3.6, 2654.2, 3623.9, 3154.9222222222224, 3154.9222222222224, -226.41508894860743
0.9, 0.5, 10, 144.7, 5.4, 1300.3, 3211.0, 2270.233333333333, 2270.233333333333, -71.07143868878484
0.1, 0.9, 10, 1.1, 5.1, 1319.5, 3631.8, 2492.988888888889, 2492.988888888889, -71.5163340099156
0.5, 0.9, 10, 4.2, 3.0, 3210.5, 4093.0, 3523.0333333333338, 3523.0333333333338, -287.9961784131825
0.9, 0.9, 10, 41.0, 6.3, 1253.7, 2230.4, 1750.7222222222222, 1750.7222222222222, -66.60636303052306
0.1, 0.1, 20, 141.2, 9.0, 364.5, 513.7, 449.11111111111103, 449.11111111111103, 35.53833208307624
0.5, 0.1, 20, 156.8, 9.0, 342.5, 471.9, 415.2333333333333, 415.2333333333333, 37.69766094982624
0.9, 0.1, 20, 230.1, 9.0, 351.0, 473.3, 424.2333333333333, 424.2333333333333, 36.896445932239295
0.1, 0.5, 20, 1.0, 6.6, 1380.7, 1982.5, 1754.3, 1754.3, -77.80490680336952
0.5, 0.5, 20, 2.0, 5.1, 1822.3, 3412.3, 2551.922222222222, 2551.922222222222, -128.49956236928702
0.9, 0.5, 20, 28.8, 6.6, 772.1, 2215.9, 1577.588888888889, 1577.588888888889, -11.844382905960083
0.1, 0.9, 20, 0.0, 3.0, 3117.9, 3622.9, 3451.8444444444444, 3451.8444444444444, -275.5739411577582
0.5, 0.9, 20, 0.4, 6.2, 1335.1, 2738.5, 1947.0555555555552, 1947.0555555555552, -74.962113686651
0.9, 0.9, 20, 1.9, 5.7, 1743.2, 2294.6, 2100.311111111111, 2100.311111111111, -121.7747510805726
0.1, 0.1, 25, 131.4, 7.2, 925.6, 2304.2, 1452.3, 1452.3, -25.33657425791025
0.5, 0.1, 25, 138.4, 8.1, 840.4, 984.5, 920.0888888888888, 920.0888888888888, -17.16896427795291
0.9, 0.1, 25, 221.2, 8.7, 363.7, 954.9, 594.7666666666667, 594.7666666666667, 35.61768431812525
0.1, 0.5, 25, 0.1, 8.7, 309.9, 918.0, 540.088888888889, 540.088888888889, 40.94999621883035
0.5, 0.5, 25, 0.6, 5.9, 1716.1, 2309.2, 1990.8777777777777, 1990.8777777777777, -114.75350406318903
0.9, 0.5, 25, 8.4, 8.4, 278.5, 841.4, 648.6888888888889, 648.6888888888889, 44.10411524772644
0.1, 0.9, 25, 0.0, 2.9, 1763.1, 4537.0, 3513.1333333333328, 3513.1333333333328, -124.33837917596102
0.5, 0.9, 25, 0.2, 4.9, 816.9, 4082.6, 2487.0444444444447, 2487.0444444444447, -16.328075905144214
0.9, 0.9, 25, 0.2, 7.4, 377.1, 2607.0, 1400.8555555555554, 1400.8555555555554, 34.23796032816172
