Gamma, Beta, Epsilon, T, LearningReached, TestingReached, Best, Worst, Average, Std, BestReward
0.1, 0.1, 0, 0, 487.5, 8.7, 422.3, 1143.9, 667.3555555555556, 667.3555555555556, 43.02909396588802
0.5, 0.1, 0, 0, 465.4, 7.8, 814.2, 1322.3, 1038.0000000000002, 1038.0000000000002, 45.75638972222805
0.9, 0.1, 0, 0, 416.6, 7.5, 783.0, 1328.3, 1124.5555555555554, 1124.5555555555554, 46.22076468169689
0.1, 0.5, 0, 0, 475.3, 7.6, 443.7, 1853.9, 1196.5444444444443, 1196.5444444444443, 32.084292218089104
0.5, 0.5, 0, 0, 327.4, 5.4, 2238.0, 2265.1, 2253.4444444444443, 2253.4444444444443, 39.49207470566034
0.9, 0.5, 0, 0, 480.2, 8.4, 309.6, 811.9, 637.5333333333333, 637.5333333333333, 45.72087908536196
0.1, 0.9, 0, 0, 219.6, 0.0, 5001.0, 5001.0, 5001.0, 5001.0, -494.0918997377157
0.5, 0.9, 0, 0, 442.7, 8.7, 380.1, 906.1, 570.7555555555556, 570.7555555555556, 39.27473498135805
0.9, 0.9, 0, 0, 454.8, 8.7, 312.3, 826.6, 493.01111111111106, 493.01111111111106, 43.666205041110516
0.1, 0.1, 5, 0, 425.6, 9.0, 386.8, 450.7, 422.2333333333333, 422.2333333333333, 47.7205793261528
0.5, 0.1, 5, 0, 458.6, 9.0, 328.6, 406.2, 362.6444444444445, 362.6444444444445, 46.349498488008976
0.9, 0.1, 5, 0, 475.7, 9.0, 342.3, 379.7, 360.8, 360.8, 46.75809307396412
0.1, 0.5, 5, 0, 24.3, 3.0, 3318.6, 3835.3, 3652.0555555555557, 3652.0555555555557, 43.59952436387539
0.5, 0.5, 5, 0, 79.4, 3.6, 2683.7, 3609.3, 3148.4444444444443, 3148.4444444444443, 44.93983203172684
0.9, 0.5, 5, 0, 392.3, 5.7, 1321.9, 3258.4, 2140.8777777777777, 2140.8777777777777, 46.83499696850777
0.1, 0.9, 5, 0, 13.9, 4.2, 2226.7, 3225.1, 2869.266666666667, 2869.266666666667, 42.98507655411959
