Iters, LearningReached, TestingReached, Best, Worst, Average, Std, BestReward
5, 0.0, 1.0, 3980.4, 5001.0, 4537.633333333333, 4537.633333333333, -369.03171696849165
10, 0.0, 3.3, 2746.8, 4546.4, 3391.177777777778, 3391.177777777778, -231.32993539720775
20, 0.0, 7.0, 867.0, 2313.5, 1486.211111111111, 1486.211111111111, -22.173216918110846
25, 0.0, 5.9, 614.7, 4085.8, 2164.4555555555553, 2164.4555555555553, 10.549896632134914
50, 0.0, 6.6, 788.5, 3152.6, 1588.8333333333335, 1588.8333333333335, -11.732094251364469
75, 0.0, 8.7, 316.1, 823.0, 496.4333333333334, 496.4333333333334, 40.42078973948956
100, 0.0, 9.0, 311.3, 350.0, 332.1777777777778, 332.1777777777778, 40.88558436781168
250, 0.0, 9.0, 293.2, 324.5, 309.7888888888889, 309.7888888888889, 42.67160042971373
500, 0.0, 9.0, 286.4, 315.6, 300.17777777777775, 300.17777777777775, 43.39150123819709
1000, 0.0, 9.0, 281.9, 310.5, 294.71111111111105, 294.71111111111105, 43.83064252212644
